Released_Year,Certificate,Runtime,IMDB_Rating,Meta_score,Director,Star1,Star2,Star3,Star4,No_of_Votes,Gross,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,Title_Encoded,Commercial_Impact,Entertainment_Quality,Cultural_Significance,Critical_Intensity
1966,1,1.4901125949373202,1.0,0.7911227154046998,6,10,1,1,1,1.7257215295426822,-0.8475452476730567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,367,0.3558684887625163,3.856644377292762,811.4592694235616,-0.5506910458036038
2002,14,2.1829196906075192,1.0,0.7284595300261096,5,3,4,1,2,2.371449240653757,2.021436099146718,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,839,2.1919728123288595,1.9594066229994602,826.9739518474348,-0.2702720746937154
1999,1,0.527880517617599,1.0,0.43603133159268936,1,1,1,1,1,2.371449240653757,2.021436099146718,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,851,2.112572477719135,0.7317619325903306,826.9190963830522,-0.17139793605629527
1990,1,0.9127733485454874,1.0,0.7911227154046998,10,11,1,4,1,2.371449240653757,-0.014116855404391067,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,316,0.6857215623243844,3.9506896829242653,820.6103809334301,-0.2133502122869641
1980,14,0.06600912050413299,1.0,0.6240208877284597,1,3,3,4,2,2.371449240653757,2.021436099146718,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,720,2.485429925550358,1.176180946930464,819.0000194527316,-0.2349598823232083
1975,1,0.41241266833923257,1.0,0.6449086161879896,2,4,1,1,1,2.371449240653757,1.319069370725707,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,587,1.2536735905892988,1.6119974566648023,816.8414555441478,-0.5012539764848938
2020,6,1.4516233118445312,0.9090909090909092,0.7911227154046998,1,1,1,1,1,-0.7712257256766152,-0.051048807354761354,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,332,-0.6356017480506085,1.0527329892643813,836.0824873571072,-0.5249454832038756
2019,1,0.3739233852464437,0.9090909090909092,0.9164490861618801,3,3,1,1,1,1.1908667735332756,0.11951048217200748,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,304,0.25218822657345336,0.9843436701485085,834.6341870054458,-0.19679806889255685
2020,12,1.1821983301950094,0.9090909090909092,0.5613577023498695,1,1,3,2,1,-0.772393151920449,-0.051061566822260616,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,703,-0.636092178170109,0.9530497214010547,835.8308454947415,-0.4472586599887597
2014,14,1.7980268596796307,0.9090909090909092,0.4569190600522193,8,3,2,1,1,2.371449240653757,2.021436099146718,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,384,1.9257470070331304,1.7962018071944952,831.0017942446881,-0.4119464676182525
2002,1,0.296944819060866,0.9090909090909092,0.5613577023498695,1,1,1,1,1,1.768577115912607,-0.8176055183744647,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,169,0.09296991419517209,0.6255189841358381,828.3806457710394,-0.1099178264721199
2001,12,0.10449840359692184,0.9090909090909092,0.9164490861618801,11,1,1,1,1,1.5797380329573345,-0.7666120848994561,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,668,0.7025571114365261,0.21476007054146246,824.2118358026847,-0.5673201140484843
1998,8,1.7980268596796307,0.9090909090909092,0.8120104438642297,13,12,5,2,1,2.371449240653757,2.021436099146718,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,659,1.5528895592019074,4.565072580956473,822.5782670242495,-0.532007921677977
1999,1,2.5293232384426187,0.9090909090909092,0.1853785900783289,2,12,1,2,1,2.371449240653757,1.8264822079757075,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,800,1.469837052553892,4.8356414508712176,826.9094439405621,0.01720606606170605
1997,12,-0.24190514423817772,0.9090909090909092,0.14360313315926887,1,1,1,1,1,1.4703036546206607,0.20606055754044927,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,459,0.40514850419575815,0.141191584355068,826.433317452163,-0.3060098905067309
1995,1,0.18147696978249953,0.9090909090909092,0.2689295039164492,8,2,4,1,1,2.371449240653757,1.0761311699675797,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,665,1.1501792391181467,0.8904498918187591,823.1926717583043,-0.011043687834699778
1991,1,-0.16492657805260005,0.9090909090909092,0.6866840731070496,2,1,1,1,1,2.371449240653757,1.7025319655954692,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,882,1.4170328829757746,0.4546333820844207,823.4516381381122,0.21822958783919888
1977,14,-0.049458728774233525,0.9090909090909092,0.7911227154046998,1,3,3,4,1,2.371449240653757,2.021436099146718,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,719,2.485429925550358,1.1126593989888258,817.7094508570316,-0.26571382751629147
1962,1,0.41241266833923257,0.9090909090909092,0.6866840731070496,1,3,1,1,1,-0.8236297543989775,-0.05149889180341611,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,670,-0.39133836342096395,1.2835450010402432,811.7879949037225,-0.2304016351457842
1954,12,2.5293232384426187,0.9090909090909092,0.95822454308094,10,7,1,1,1,0.25600288069242294,-0.9668407875823246,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,680,0.04009489942631761,3.2973799098923404,805.3422765995048,-0.3222133353091029
1946,5,0.296944819060866,0.9090909090909092,0.7702349869451697,4,8,1,1,1,0.611188371371265,0.21786959645441498,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,390,0.05326925076685474,2.7790851415062656,804.1227918670547,-0.5178830447297741
