Released_Year,Certificate,Runtime,IMDB_Rating,Meta_score,Director,Star1,Star2,Star3,Star4,No_of_Votes,Gross,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,Title_Encoded,Commercial_Impact,Entertainment_Quality,Cultural_Significance,Critical_Intensity
1954,12,2.5293232384426187,2.4692705958862105,1.8191160993370752,10,7,1,1,1,0.25600288069242294,-0.9668407875823246,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,680,0.040094899426317665,3.6543515524004335,805.0905103463574,-1.0551377729770834
1946,5,0.296944819060866,2.4692705958862105,0.9872930673202743,4,8,1,1,1,0.611188371371265,0.21786959645441498,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,390,0.05326925076685457,3.136056784014359,804.0593136052286,-1.0331182147597475
2019,1,-0.010969445681444688,2.091590786175871,-1.7854503727357287,2,3,3,1,1,2.371449240653757,2.021436099146718,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,400,1.5528895592019067,1.3974577553831897,835.7638091699133,0.7192080812816136
2014,1,-0.6267979751660662,2.091590786175871,0.8948682859850743,2,1,1,1,2,1.8408668308559482,-0.7044954892987021,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,972,0.17118800366603176,0.5543056695897509,832.9104546705073,-0.8949087088623618
2011,14,-0.3958622766093331,2.091590786175871,-1.970299935406129,1,1,1,1,1,2.0095717551126686,-0.7026484247626902,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,813,0.24206148640618502,0.35478760656134267,833.164960794234,0.07384547236569605
2006,12,0.296944819060866,2.091590786175871,-1.138476903389328,8,8,1,4,4,2.371449240653757,0.11382382463633428,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,866,0.7402257023331271,3.049643031063008,828.1571651696762,-0.20740574153922403
2006,1,1.1052197640094317,2.091590786175871,0.6175939419794739,10,9,5,1,1,2.371449240653757,1.7361133260141415,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,775,1.431338912687049,3.6563451428487626,826.9646926340262,-0.09329542555482184
2002,8,1.066730480916643,2.091590786175871,0.6175939419794739,5,2,1,1,1,1.8882659139586313,-0.3059411653795072,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,865,0.3606679688793603,1.4885385186407214,827.325210542516,-0.8011583042273884
2000,14,1.259176896380587,2.091590786175871,-1.046052122054128,6,5,1,1,1,2.371449240653757,2.021436099146718,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,305,2.1919728123288587,2.482697777416136,826.3256484345598,0.02057577927003551
1998,8,-0.1264372949598112,2.091590786175871,-1.5081760287301285,2,3,1,1,1,2.371449240653757,-0.8348634119429422,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0.33607448201317075,1.3547363548703355,826.990821087831,-0.08240520202592627
1995,1,-0.6267979751660662,2.091590786175871,-0.12180430870212691,3,3,2,1,1,2.371449240653757,-0.4947989467012311,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,901,0.7744028060147947,1.1696102859813002,824.7477218759183,0.1567056534717738
1994,1,-0.4728408427949108,2.091590786175871,-1.3233264660597284,2,1,3,1,1,2.371449240653757,-0.573368494552745,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,438,0.7137000046190874,0.6112675369402233,825.281162212944,0.4516670174216484
1994,12,-1.3196050708362652,2.091590786175871,0.8948682859850743,1,1,1,1,1,2.371449240653757,2.021436099146718,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,831,1.9257470070331293,-0.04157931289365918,824.9719112979687,-0.8949087088623618
1991,12,0.5663698007103879,2.091590786175871,-0.30665387137252714,5,3,2,1,2,2.371449240653757,2.021436099146718,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,741,2.1125724777191346,1.611064757947461,822.4672682326769,-0.22942529975656
1988,12,1.259176896380587,2.091590786175871,0.1554700353034734,3,1,1,1,1,-0.07916282750770234,-0.7270331710457603,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,569,-0.6360685878792782,1.252088544633037,822.0258344942868,-0.6449076298357662
1988,12,-1.2811157877434765,2.091590786175871,1.4494169739962748,3,1,1,1,1,-0.061541001637941344,0.005287353286562002,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,357,-0.3167711774843666,-0.027338846056041033,821.6474219402807,-1.0824095181323083
1985,12,-0.24190514423817772,2.091590786175871,0.8024435046498741,5,2,3,2,1,2.371449240653757,2.021436099146718,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,86,2.219204120254628,0.7194017821075898,819.6595147070568,-0.8636585739840374
1968,12,1.6440697273084754,2.091590786175871,0.1554700353034734,6,3,1,2,1,0.20512518290372175,-0.8634724634191049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,583,-0.2826317772011251,2.0097978294007675,812.472964924544,-0.6449076298357662
1960,1,-0.5113301258876997,2.091590786175871,1.7266913180018753,14,1,1,3,1,1.3937189154221337,-0.3176555534659936,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,622,0.443680490083167,0.5970270701026051,805.9866135251973,-0.8056378776113546
1942,12,-0.7807551075372214,2.091590786175871,2.0039656620074755,2,9,2,1,1,1.0698449009250355,-0.9513839870385509,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,153,-0.25430183333031003,2.958562267805476,802.7853021579795,-1.2699103274022552
1936,3,-1.3580943539290542,2.091590786175871,1.634266536666675,6,6,2,1,1,-0.1299695331599542,-0.969005683639553,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,534,-0.7602586349037506,1.537037476599764,799.0521948407969,-1.1449097878889574
1931,3,-1.3580943539290542,2.091590786175871,1.9115408806722753,6,6,1,1,1,-0.3273355605043096,-0.9719530978830374,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,172,-0.8435078200894104,1.537037476599764,796.9016065131163,-1.2386601925239307
2018,1,0.14298768668971068,1.7139109764655314,-0.30665387137252714,1,1,1,1,1,-0.7422609340052803,-0.9383610578342347,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,147,-1.0015734423089135,0.7527012533907611,835.2568940154342,-0.38169758442508256
2017,12,0.10449840359692184,1.7139109764655314,0.06304525396827329,1,2,1,1,1,-0.8547558622244371,-0.051663118485752925,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,78,-0.6705651316525603,1.0461130947489177,835.0537124029823,-0.5066981239383803
2017,14,0.9512626316382763,1.7139109764655314,0.06304525396827329,1,1,3,1,1,-0.8772800895167838,-0.051743534705803514,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,955,-0.4137310280643978,1.051751056980741,834.7348761582109,0.08987436526584308
2016,12,-0.6267979751660662,1.7139109764655314,0.06304525396827329,1,1,1,1,1,-0.2208512998378644,-0.86969737840516,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,423,-0.7557080366825155,0.12833533723211488,834.3209761735608,-0.5066981239383803
2016,12,1.4901125949373202,1.7139109764655314,0.06304525396827329,2,7,1,1,2,-0.37213948661901086,-0.7188217221010905,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,189,-0.4880585587496497,3.097031441882043,834.3003560978685,-0.24746646825079632
2018,12,-0.2034158611453889,1.7139109764655314,0.8024435046498741,1,1,1,1,1,0.49014283471754194,2.021436099146718,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,709,1.703861785935011,0.28498047244591385,834.6760394823656,-0.49746754727739195
2019,14,2.2598982567930967,1.7139109764655314,-0.029379527366926807,4,4,3,1,3,2.205174811068532,2.021436099146718,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,75,2.122895921830601,2.45888385404708,834.5713366342634,-0.21621633337247192
2018,14,1.028241197823854,1.7139109764655314,-0.9536273407189279,4,4,3,1,3,2.3018897649580303,2.021436099146718,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,76,2.456532203286411,2.0031889152433013,834.171230415697,0.09628501541077256
2017,12,-0.6652872582588549,1.7139109764655314,0.2478948166386735,2,1,1,1,1,0.5258794874046289,2.021436099146718,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,175,1.4524823815597245,0.11409487039449684,834.0848599861115,-0.5691983936950292
2012,1,1.6440697273084754,1.7139109764655314,0.2478948166386735,8,2,1,1,2,2.371449240653757,2.021436099146718,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,227,1.5528895592019067,1.6157317682536414,830.2351230554275,-0.5691983936950292
2012,14,1.6055804442156867,1.7139109764655314,-0.029379527366926807,8,8,2,1,1,2.371449240653757,2.021436099146718,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,771,2.485429925550357,3.4474051505906718,830.0597105445082,-0.21621633337247192
2009,14,1.8365161427724197,1.7139109764655314,-1.046052122054128,4,7,3,1,2,0.3691998422609123,-0.838688356254532,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-0.49736756751916206,2.940234779366489,830.7296609373384,-0.13169650539848704
2007,12,1.6440697273084754,1.7139109764655314,0.06304525396827329,1,1,1,1,1,-0.32317068849928104,-0.9473063119396042,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,733,-0.8312777671369722,1.3080794600578665,830.5958763117097,-0.5066981239383803
2008,12,-0.9347122399083768,1.7139109764655314,1.541841755331475,2,1,1,1,1,2.371449240653757,2.021436099146718,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,960,2.219204120254628,0.014411602531170131,829.9813475702543,-1.0067002819915716
